InputSequence Length,Channel Flip Prob,Context Length,Markov Transition Probabilities,No. of Errors,No of changes by DUDE,Number of right changes,fraction of changes,fraction of right changes,net Correction,Coverage Depth,Ratio
0,0.02,9,-1.0,22771,17446,16625,0.766,0.73,0.694,115,-1
0,0.02,8,-1.0,22771,18330,17496,0.805,0.768,0.731,115,-1
0,0.02,7,-1.0,22771,19470,18361,0.855,0.806,0.7570000000000001,115,-1
0,0.02,6,-1.0,22771,24512,19216,1.076,0.844,0.6119999999999999,115,-1
0,0.02,5,-1.0,22771,62733,19811,2.755,0.87,-1.015,115,-1
0,0.02,14,-1.0,21961,12515,11430,0.57,0.52,0.4700000000000001,110,-1
0,0.02,13,-1.0,21961,13282,12223,0.605,0.557,0.5090000000000001,110,-1
0,0.02,12,-1.0,21961,14050,13004,0.64,0.592,0.5439999999999999,110,-1
0,0.02,11,-1.0,21961,14835,13817,0.675,0.629,0.583,110,-1
0,0.02,10,-1.0,21961,15587,14620,0.71,0.666,0.6220000000000001,110,-1
0,0.02,9,-1.0,21961,16439,15479,0.749,0.705,0.6609999999999999,110,-1
0,0.02,8,-1.0,21961,17233,16297,0.785,0.742,0.699,110,-1
0,0.02,7,-1.0,21961,18283,17107,0.832,0.779,0.7260000000000001,110,-1
0,0.02,6,-1.0,21961,22545,18016,1.027,0.82,0.613,110,-1
0,0.02,5,-1.0,21961,56493,18730,2.572,0.853,-0.8660000000000001,110,-1
0,0.02,14,-1.0,20589,10917,10000,0.53,0.486,0.44199999999999995,105,-1
0,0.02,13,-1.0,20589,11625,10713,0.565,0.52,0.4750000000000001,105,-1
0,0.02,12,-1.0,20589,12386,11449,0.602,0.556,0.5100000000000001,105,-1
0,0.02,11,-1.0,20589,13184,12226,0.64,0.594,0.5479999999999999,105,-1
0,0.02,10,-1.0,20589,13899,12990,0.675,0.631,0.587,105,-1
0,0.02,9,-1.0,20589,14674,13796,0.713,0.67,0.6270000000000001,105,-1
0,0.02,8,-1.0,20589,15445,14570,0.75,0.708,0.6659999999999999,105,-1
0,0.02,7,-1.0,20589,16466,15401,0.8,0.748,0.696,105,-1
0,0.02,6,-1.0,20589,19854,16250,0.964,0.789,0.6140000000000001,105,-1
0,0.02,5,-1.0,20589,47425,17068,2.303,0.829,-0.645,105,-1
0,0.02,14,-1.0,19848,9278,8710,0.467,0.439,0.411,100,-1
0,0.02,13,-1.0,19848,9951,9340,0.501,0.471,0.44099999999999995,100,-1
0,0.02,12,-1.0,19848,10623,10008,0.535,0.504,0.473,100,-1
0,0.02,11,-1.0,19848,11293,10662,0.569,0.537,0.5050000000000001,100,-1
0,0.02,10,-1.0,19848,12086,11419,0.609,0.575,0.5409999999999999,100,-1
0,0.02,9,-1.0,19848,12865,12210,0.648,0.615,0.582,100,-1
0,0.02,8,-1.0,19848,13683,13023,0.689,0.656,0.6230000000000001,100,-1
0,0.02,7,-1.0,19848,14628,13839,0.737,0.697,0.6569999999999999,100,-1
0,0.02,6,-1.0,19848,17115,14737,0.862,0.742,0.622,100,-1
0,0.02,5,-1.0,19848,36785,15553,1.853,0.784,-0.2849999999999999,100,-1
